frame_idx,time_sec,track_id,castor_detected,person_detected,min_person_to_castor_px,min_hand_to_castor_px,near_robot,probable_contact,inside_robot_zone,interaction_score_frame,interaction_label_frame
789,26.3263,6,1,1,870.9320495781672,624.3768310546875,0,0,0,0.0,nula
790,26.359666666666666,4,1,1,749.3794285470241,407.3210144042969,0,0,0,0.0,nula
790,26.359666666666666,6,1,1,868.6360554019263,616.3276062011719,0,0,0,0.0,nula
791,26.393033333333335,4,1,1,743.2480308669465,386.8642883300781,0,0,0,0.0,nula
791,26.393033333333335,6,1,1,865.5020454142789,614.4277038574219,0,0,0,0.0,nula
792,26.4264,4,1,1,738.3223685812114,400.615966796875,0,0,0,0.0,nula
792,26.4264,6,1,1,861.2809380762866,609.1234741210938,0,0,0,0.0,nula
793,26.459766666666667,4,1,1,732.0428457804318,372.7574462890625,0,0,0,0.0,nula
793,26.459766666666667,6,1,1,856.491532237521,600.140625,0,0,0,0.0,nula
794,26.493133333333333,4,1,1,725.9347871952314,370.1104736328125,0,0,0,0.0,nula
794,26.493133333333333,6,1,1,852.9564606856311,586.067138671875,0,0,0,0.0,nula
795,26.526500000000002,4,1,1,719.6492063386064,371.14837646484375,0,0,0,0.0,nula
795,26.526500000000002,6,1,1,850.0542689798252,587.0841064453125,0,0,0,0.0,nula
796,26.559866666666668,4,1,1,713.1327082879959,368.96673583984375,0,0,0,0.0,nula
796,26.559866666666668,6,1,1,847.9769828065421,604.900634765625,0,0,0,0.0,nula
797,26.593233333333334,4,1,1,704.7700145196725,341.0404052734375,0,0,0,0.0,nula
797,26.593233333333334,6,1,1,845.8562506941698,600.4410400390625,0,0,0,0.0,nula
798,26.6266,4,1,1,695.7989374396261,340.2196960449219,0,0,0,0.0,nula
798,26.6266,6,1,1,843.7844891948824,590.4002990722656,0,0,0,0.0,nula
799,26.659966666666666,4,1,1,686.857470888342,566.1578979492188,0,0,0,0.0,nula
799,26.659966666666666,6,1,1,841.1842871764617,587.2659301757812,0,0,0,0.0,nula
800,26.693333333333335,4,1,1,678.338108369458,556.1554565429688,0,0,0,0.0,nula
800,26.693333333333335,6,1,1,838.473126431791,583.6005859375,0,0,0,0.0,nula
801,26.7267,4,1,1,669.517401346722,553.9468994140625,0,0,0,0.0,nula
801,26.7267,6,1,1,836.6512448958277,575.6307373046875,0,0,0,0.0,nula
802,26.760066666666667,4,1,1,660.4332743813062,545.1682739257812,0,0,0,0.0,nula
802,26.760066666666667,6,1,1,831.9922099297967,573.2606201171875,0,0,0,0.0,nula
803,26.793433333333333,4,1,1,651.8453449453518,309.0832824707031,0,0,0,0.0,nula
803,26.793433333333333,6,1,1,826.4879133768713,570.1691589355469,0,0,0,0.0,nula
804,26.826800000000002,4,1,1,643.0045342638142,307.3258056640625,0,0,0,0.0,nula
804,26.826800000000002,6,1,1,821.6788304469922,562.0089721679688,0,0,0,0.0,nula
805,26.860166666666668,4,1,1,635.0052851470589,305.12432861328125,0,0,0,0.0,nula
805,26.860166666666668,6,1,1,818.7238335840032,556.5078735351562,0,0,0,0.0,nula
806,26.893533333333334,4,1,1,628.1098223927227,300.81146240234375,0,0,0,0.0,nula
806,26.893533333333334,6,1,1,816.5342246678522,547.6444702148438,0,0,0,0.0,nula
807,26.9269,4,1,1,622.3487346485579,295.09991455078125,0,0,0,0.0,nula
807,26.9269,6,1,1,814.1075113921958,540.874755859375,0,0,0,0.0,nula
808,26.960266666666666,4,1,1,617.4110038388565,288.6956787109375,0,0,0,0.0,nula
808,26.960266666666666,6,1,1,809.5530588143073,549.997802734375,0,0,0,0.0,nula
809,26.993633333333335,4,1,1,612.3561312003523,282.9057312011719,0,0,0,0.0,nula
809,26.993633333333335,6,1,1,805.4865337159702,547.5854187011719,0,0,0,0.0,nula
810,27.027,4,1,1,607.5453258026557,534.2120361328125,0,0,0,0.0,nula
810,27.027,6,1,1,802.2250830590671,540.133544921875,0,0,0,0.0,nula
811,27.060366666666667,4,1,1,602.567475462303,528.4157409667969,0,0,0,0.0,nula
811,27.060366666666667,6,1,1,807.8694513002154,518.4333190917969,0,0,0,0.0,nula
812,27.093733333333333,4,1,1,598.0827189440578,528.5633239746094,0,0,0,0.0,nula
812,27.093733333333333,6,1,1,803.3938029278953,544.4535827636719,0,0,0,0.0,nula
813,27.127100000000002,4,1,1,594.110924781816,529.861328125,0,0,0,0.0,nula
813,27.127100000000002,6,1,1,809.3051045691918,523.1798095703125,0,0,0,0.0,nula
814,27.160466666666668,4,1,1,589.8455369361368,533.4163818359375,0,0,0,0.0,nula
814,27.160466666666668,6,1,1,806.5005789087411,546.0408935546875,0,0,0,0.0,nula
815,27.193833333333334,4,1,1,586.152591407813,287.47015380859375,0,0,0,0.0,nula
815,27.193833333333334,6,1,1,804.3031286733573,547.8603515625,0,0,0,0.0,nula
816,27.2272,4,1,1,582.7149765968513,285.6695556640625,0,0,0,0.0,nula
816,27.2272,6,1,1,804.1298099596034,552.89990234375,0,0,0,0.0,nula
817,27.260566666666666,4,1,1,579.1394732020831,524.4788818359375,0,0,0,0.0,nula
817,27.260566666666666,6,1,1,805.21033781614,556.5714721679688,0,0,0,0.0,nula
818,27.293933333333335,4,1,1,575.7964786598304,509.1591796875,0,0,0,0.0,nula
818,27.293933333333335,6,1,1,806.9197255870527,557.3934326171875,0,0,0,0.0,nula
819,27.3273,4,1,1,572.4785501182996,498.2707214355469,0,0,0,0.0,nula
819,27.3273,6,1,1,810.2659757527965,551.4824523925781,0,0,0,0.0,nula
820,27.360666666666667,4,1,1,569.3859716383469,340.4508972167969,0,0,0,0.0,nula
820,27.360666666666667,6,1,1,812.4526678212482,552.4659118652344,0,0,0,0.0,nula
821,27.394033333333333,4,1,1,566.6174932046464,285.50506591796875,0,0,0,0.0,nula
821,27.394033333333333,6,1,1,815.3295903995589,556.8480224609375,0,0,0,0.0,nula
822,27.427400000000002,4,1,1,563.4220521730691,285.106201171875,0,0,0,0.0,nula
822,27.427400000000002,6,1,1,819.9166498958439,559.723876953125,0,0,0,0.0,nula
823,27.460766666666668,4,1,1,561.1920322021035,288.2447509765625,0,0,0,0.0,nula
823,27.460766666666668,6,1,1,827.5716569951819,562.2445068359375,0,0,0,0.0,nula
824,27.494133333333334,4,1,1,558.912782511312,290.41497802734375,0,0,0,0.0,nula
824,27.494133333333334,6,1,1,832.987275055651,564.9561157226562,0,0,0,0.0,nula
825,27.5275,4,1,1,557.0785302961353,278.0466613769531,0,0,0,0.0,nula
825,27.5275,6,1,1,838.9061700344869,570.2165832519531,0,0,0,0.0,nula
