frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
20,0.6666666666666666,1,True,"[1, 2, 3]",3,True,"(0.0830485001206398, 139.2552947998047, 424.5392761230469, 720.0)","(933.5669555664062, 0.20971465110778809, 1280.0, 601.1061401367188)",0.0,0.7726717160807716,0.0,indeterminado,none,180.19866443653123,565.6539983004332,zona_3,0.0,sem_contato,proximidade,media
21,0.7,1,True,"[1, 2, 3]",3,True,"(0.0, 139.3263397216797, 413.3868103027344, 720.0)","(931.1808471679688, 0.06261798739433289, 1280.0, 605.472900390625)",0.0,0.7907522122065226,0.0,indeterminado,none,179.6131058941298,568.1381992697716,zona_3,0.0,sem_contato,proximidade,media
22,0.7333333333333333,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.04624938964844, 414.6175231933594, 720.0)","(927.1234130859375, 0.0970909520983696, 1280.0, 608.4453735351562)",0.0,0.8067189587487115,0.0,indeterminado,none,178.15493543531613,558.2172439694405,zona_3,0.0,sem_contato,proximidade,media
23,0.7666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 138.9781036376953, 414.7831115722656, 720.0)","(926.7064819335938, 0.11708024144172668, 1279.107177734375, 609.2322998046875)",0.0,0.821954091389974,0.0,indeterminado,none,177.76731043052715,555.9376958161592,zona_3,0.0,sem_contato,proximidade,media
24,0.8,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 138.691650390625, 411.267578125, 720.0)","(922.588623046875, 0.4589487612247467, 1275.0316162109375, 614.479736328125)",0.0,0.8360672858026292,0.0,indeterminado,none,175.77017386250574,553.2187687680125,zona_3,0.0,sem_contato,proximidade,media
25,0.8333333333333334,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.4584197998047, 410.4618835449219, 720.0)","(917.5882568359375, 1.5420955419540405, 1270.41845703125, 619.4703979492188)",0.0,0.8470392425855001,0.0,indeterminado,none,173.69778824510732,545.8855769261718,zona_3,0.0,sem_contato,proximidade,media
26,0.8666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(5.21728515625, 138.943359375, 388.6682434082031, 720.0)","(916.2423095703125, 1.9574322700500488, 1268.093505859375, 621.135009765625)",0.0,0.8574043843481276,0.0,indeterminado,none,174.55432892493468,567.2880022525787,zona_3,0.0,sem_contato,proximidade,media
27,0.9,1,True,"[1, 2, 3, 6]",4,True,"(0.0815836563706398, 139.810546875, 416.5216979980469, 720.0)","(913.0685424804688, 3.1910641193389893, 1267.306640625, 628.2015380859375)",0.0,0.8662811252805922,0.0,indeterminado,none,170.23411662570112,532.4077237397432,zona_3,0.0,sem_contato,proximidade,media
28,0.9333333333333333,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.50848388671875, 421.053466796875, 720.0)","(912.4988403320312, 2.943058490753174, 1265.9625244140625, 627.9939575195312)",0.0,0.0,0.0,indeterminado,none,169.61965243440838,,zona_3,0.0,sem_contato,proximidade,baixa
29,0.9666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 140.0288848876953, 416.4906005859375, 720.0)","(912.0962524414062, 3.081554651260376, 1266.4879150390625, 630.0912475585938)",0.0,0.87295886543062,0.0,indeterminado,none,169.4944879654677,523.3763017058372,zona_3,0.0,sem_contato,proximidade,media
30,1.0,1,True,"[1, 2, 3, 6]",4,True,"(0.1701253205537796, 138.1764373779297, 395.6317138671875, 720.0)","(912.578369140625, 3.2775938510894775, 1267.8240966796875, 631.5615234375)",0.0,0.8802556263075935,0.0,indeterminado,none,171.26122587655428,544.1161186695099,zona_3,0.0,sem_contato,proximidade,media
31,1.0333333333333334,1,True,"[1, 2, 3, 6]",4,True,"(5.059488773345947, 137.71897888183594, 377.0348205566406, 720.0)","(912.8123779296875, 3.490994930267334, 1268.679931640625, 632.2506103515625)",0.0,0.8886614574326409,0.0,indeterminado,none,172.52406810961378,561.8615540862083,zona_3,0.0,sem_contato,proximidade,media
32,1.0666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(5.0494384765625, 137.6998748779297, 376.6411437988281, 720.0)","(912.908203125, 3.5455925464630127, 1269.109375, 632.3338623046875)",0.0,0.8963322308328416,0.0,indeterminado,none,172.60289314780965,562.1756622418761,zona_3,0.0,sem_contato,proximidade,media
33,1.1,1,True,"[1, 2, 3, 6]",4,True,"(5.084310054779053, 138.4540252685547, 385.9925231933594, 720.0)","(912.2772216796875, 3.248955488204956, 1269.250244140625, 632.9473876953125)",0.0,0.9037891427675883,0.0,indeterminado,none,171.4054576610766,552.3583795875311,zona_3,0.0,sem_contato,proximidade,media
34,1.1333333333333333,1,True,"[1, 2, 3, 6]",4,True,"(0.4661458432674408, 137.933349609375, 396.391845703125, 720.0)","(910.6455688476562, 2.564765691757202, 1268.559326171875, 633.3872680664062)",0.0,0.9104138082928128,0.0,indeterminado,none,170.3247708558887,539.5871646553278,zona_3,0.0,sem_contato,proximidade,media
