track_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,mean_person_distance_px,mean_hand_distance_px,near_ratio,contact_ratio,mean_score,label
231,24552,24569,819.2184,819.7856333333333,0.6006,203.40849911655258,0.0,1.0,1.0,79.66185383835793,alta
231,24596,24614,820.6865333333334,821.2871333333334,0.6339666666666667,254.28883106680203,0.0,1.0,1.0,80.03499995796662,alta
231,24623,24944,821.5874333333334,832.2981333333333,10.710699999999974,178.50177831316114,0.0,1.0,1.0,82.34975182807827,alta
233,24686,24744,823.6895333333333,825.6248,1.9352666666667346,42.1688337578553,0.0,1.0,1.0,95.624312539443,alta
234,24736,25110,825.3578666666667,837.837,12.479133333333266,39.290110885073496,0.0,1.0,1.0,96.05983621070006,alta
235,24979,25016,833.4659666666666,834.7005333333334,1.2345666666667512,148.5100324625254,0.0,1.0,1.0,85.35356846403614,alta
236,25053,25116,835.9351,838.0372,2.135466666666667,184.34456716563196,0.0,1.0,1.0,81.2968520214271,alta
236,25140,25154,838.838,839.3051333333334,0.5005000000000001,239.41452118106346,0.0,1.0,1.0,79.94475558190486,alta
237,25140,25154,838.838,839.3051333333334,0.5005000000000001,47.498727728129616,0.0,1.0,1.0,94.70533238884032,alta
237,25201,25278,840.8733666666667,843.4426,2.5692333333332726,109.78843430793877,17.016741943359374,1.0,0.9555555555555556,80.1553525369519,alta
237,25331,25350,845.2110333333334,845.845,0.6673333333333333,179.67230121365776,0.0,1.0,1.0,82.1769696873657,alta
237,25367,25430,846.4122333333333,848.5143333333333,2.135466666666667,171.46393835723802,0.0,1.0,1.0,83.53264247080119,alta
237,25436,25495,848.7145333333333,850.6831666666667,2.0020000000000002,164.08233866290664,0.0,1.0,1.0,83.52462527102534,alta
237,25544,25630,852.3181333333333,855.1876666666667,2.8695333333333792,188.00399240719673,0.5884222303118024,1.0,0.9880952380952381,81.14026608918415,alta
237,25647,26001,855.7549,867.5667,11.811799999999948,123.45762188637373,0.07188636251965409,1.0,1.0,87.46837872157491,alta
237,26009,26023,867.8336333333333,868.3007666666667,0.5005000000000001,185.65731354955426,59.24154459635417,1.0,0.13333333333333333,40.7179881043624,baixa
237,26025,26040,868.3675000000001,868.868,0.5338666666666667,224.8453579621469,104.45673942565918,1.0,0.0,27.14591470678664,baixa
237,26139,26172,872.1713,873.2724000000001,1.1344666666666667,221.19241414133288,95.061107859892,1.0,0.0,29.641872359029207,baixa
237,26176,26223,873.4058666666667,874.9741,1.5682333333332963,158.69522795788507,10.928385416666666,1.0,0.9111111111111111,77.25109651838443,alta
237,26249,26298,875.8416333333333,877.4766,1.634966666666628,218.3457133792297,0.0,1.0,1.0,84.92637998894811,alta
237,26361,26383,879.5787,880.3127666666667,0.7674333333333333,177.28461620257457,37.15102485988451,1.0,0.6956521739130435,61.9018405411327,media
238,25187,25228,840.4062333333334,841.7742666666667,1.368033333333301,173.51433534430444,44.14543533325195,1.0,0.3125,51.4701279147682,media
238,25232,25252,841.9077333333333,842.5750666666667,0.7007,150.73111106981005,18.9428957984561,1.0,1.0,72.47764444757624,media
238,25255,25273,842.6751666666667,843.2757666666666,0.6339666666666667,162.80649711764406,0.15410734477796054,1.0,1.0,85.26096351605574,alta
243,25369,25430,846.4789666666667,848.5143333333333,2.0353666666666186,55.824653717888445,0.0,1.0,1.0,94.41593225943218,alta
243,25436,25495,848.7145333333333,850.6831666666667,2.0020000000000002,54.426012368941876,0.0,1.0,1.0,94.58017235981124,alta
244,25394,25430,847.3131333333333,848.5143333333333,1.2011999999999716,167.43223729983217,93.27774137609146,1.0,0.0,34.97619395396961,baixa
244,25436,25495,848.7145333333333,850.6831666666667,1.9686333333334005,164.1647954758338,81.47068623134068,1.0,0.0,36.97093752075242,baixa
244,25544,25630,852.3181333333333,855.1876666666667,2.8695333333333792,224.451785928967,10.3292433794807,1.0,0.8823529411764706,71.63477020074748,media
244,25647,25715,855.7549,858.0238333333333,2.2689333333332797,135.99693868379043,0.0,1.0,1.0,86.51700961165416,alta
245,25563,25611,852.9521,854.5537,1.6016000000000759,58.76053044673815,0.0,1.0,1.0,94.32364281018997,alta
246,25647,25701,855.7549,857.5567,1.8017999999999574,106.26504507235641,0.0,1.0,1.0,89.40096072151289,alta
